restaurant_id,zone,lat,lon,cuisine,base_prep_mean_min,base_prep_std_min,popularity_weight
R0031,Ajah,6.463263712649997,3.5807480605415862,Pastries,17.9,4.4,1.186
R0032,Ojota,6.573377905972113,3.382195390272118,Pastries,14.0,1.9,0.927
R0033,Ikeja,6.627137402252303,3.33990432563944,Pastries,12.3,3.9,0.531
R0034,Ikoyi,6.444257368190462,3.4227126973311437,Nigerian,7.8,3.3,1.01
R0035,Apapa,6.447852567730558,3.347986855625405,Chinese,13.0,2.9,0.663
R0036,Surulere,6.486193394690862,3.3841588208515505,Fast Food,31.0,3.3,0.536
R0037,Yaba,6.496177429441219,3.3677672631660887,Grills/BBQ,16.7,2.4,0.606
R0038,Victoria Island,6.424884654456342,3.418281016812029,Nigerian,14.3,3.3,0.694
R0039,Gbagada,6.552748711513389,3.384222309052525,Continental,13.3,1.6,0.556
R0040,Gbagada,6.576257772170563,3.404879758400181,Fast Food,14.9,2.6,1.692
R0041,Gbagada,6.5640804298667,3.387070405472181,Nigerian,15.3,4.0,1.225
R0042,Surulere,6.494634415099426,3.362783222812356,Pastries,13.5,1.9,1.291
R0043,Lekki,6.463065141635408,3.4377298569656403,Chinese,12.5,2.3,0.623
R0044,Victoria Island,6.43252793903014,3.445366760336935,Continental,8.9,2.5,0.832
R0045,Yaba,6.5049848416731955,3.388764483679065,Grills/BBQ,15.8,2.5,0.85
R0046,Ojota,6.582326407642967,3.390151877474098,Pastries,12.3,2.4,1.418
R0047,Ikeja,6.612361729622639,3.3489090304039544,Fast Food,18.8,3.7,0.544
R0048,Ajah,6.468896132165875,3.5692764922233926,Pastries,11.5,3.8,0.898
R0049,Ojota,6.576842558253829,3.362367655548344,Pastries,11.1,2.0,0.659
R0050,Ikeja,6.570867591633926,3.355636378529891,Chinese,13.6,3.0,1.697
R0051,Yaba,6.517477235357711,3.3496099306823983,Pastries,20.6,2.8,1.391
R0052,Surulere,6.515424366005853,3.362364199454821,Grills/BBQ,14.3,2.6,0.894
R0053,Lekki,6.448375817168772,3.4861834258049282,Nigerian,10.0,3.7,1.458
R0054,Ojota,6.579131133589721,3.3903747033478626,Pastries,13.4,3.7,0.676
R0055,Victoria Island,6.459523316854672,3.419112794404133,Nigerian,8.0,3.6,0.506
R0056,Ikeja,6.580169496195705,3.3344899717359984,Continental,8.8,2.4,0.686
R0057,Apapa,6.435927660567453,3.328514634790298,Grills/BBQ,13.5,4.0,0.509
R0058,Ikoyi,6.445157938052309,3.4334781627061277,Pastries,16.6,1.6,0.674
R0059,Victoria Island,6.430756477304868,3.4330472155005745,Nigerian,11.9,1.6,0.504
R0060,Yaba,6.482593684990769,3.35348405484472,Nigerian,9.0,1.7,1.683
R0061,Ojota,6.579070166106215,3.3937018319090537,Pastries,19.7,2.1,0.744
R0062,Ikoyi,6.472373409509188,3.43285164251798,Chinese,10.6,3.7,0.655
R0063,Ikeja,6.612648397761611,3.37488545808603,Fast Food,9.2,3.3,0.566
R0064,Surulere,6.476282771351059,3.37181311322083,Pastries,11.3,4.4,1.931
R0065,Ajah,6.4672452013973585,3.5896653752829226,Grills/BBQ,14.8,2.4,4.974
R0066,Ajah,6.465324909676688,3.600343440732374,Grills/BBQ,14.9,2.7,0.638
R0067,Yaba,6.510436645324293,3.373276605427789,Nigerian,18.3,3.3,2.642
R0068,Ojota,6.565149521119682,3.357298702816373,Continental,7.9,1.6,0.644
R0069,Victoria Island,6.443030910493748,3.4088295980257204,Continental,14.7,3.4,0.555
R0070,Ikoyi,6.449520010467566,3.4460535993579002,Fast Food,9.8,2.6,1.179
R0071,Gbagada,6.549235522405338,3.3913919727284516,Grills/BBQ,13.1,3.9,0.811
R0072,Ajah,6.4787854006902315,3.599945281568523,Pastries,14.8,2.5,0.705
R0073,Apapa,6.430276017863096,3.355340394724998,Fast Food,8.0,2.6,0.729
R0074,Surulere,6.480716203343448,3.3189198545102108,Chinese,11.4,3.8,0.74
R0075,Apapa,6.4339270622345754,3.355860526193042,Grills/BBQ,13.7,2.1,0.619
R0076,Victoria Island,6.418806974189884,3.4340971901489428,Nigerian,21.5,4.0,0.693
R0077,Ajah,6.463825767889456,3.6049690165175248,Continental,13.8,2.9,0.622
R0078,Lekki,6.437144383191617,3.4787453247174174,Fast Food,8.8,3.0,2.007
R0079,Apapa,6.4443813620360935,3.33698742474399,Continental,10.6,3.4,2.945
R0080,Apapa,6.457745741248369,3.3461978983964147,Grills/BBQ,16.4,4.0,1.434
R0081,Ajah,6.49727348958687,3.584016692662968,Grills/BBQ,12.2,4.1,0.794
R0082,Ajah,6.4628640909631025,3.5731243309951655,Continental,13.1,3.4,0.745
R0083,Ikeja,6.611782071076063,3.3493303613103254,Continental,11.1,2.4,0.783
R0084,Ajah,6.473337483463005,3.5729762721767155,Nigerian,14.1,3.4,1.572
R0085,Ojota,6.5813066335608275,3.346150562941353,Grills/BBQ,9.7,4.1,0.558
R0086,Ajah,6.453915701287705,3.5738217805557575,Grills/BBQ,14.3,4.5,0.987
R0087,Gbagada,6.52570125149958,3.3660920076308365,Grills/BBQ,11.8,4.5,7.053
R0088,Lekki,6.450158040439161,3.4647536643564116,Pastries,19.4,3.9,3.45
R0089,Victoria Island,6.434149341413138,3.3990004698715426,Grills/BBQ,15.6,3.5,0.856
R0090,Ikoyi,6.443210914791851,3.414173990085085,Grills/BBQ,16.4,2.2,0.623
R0091,Surulere,6.501433453598608,3.3628538260847347,Pastries,11.2,2.7,1.566
R0092,Ikoyi,6.4400520882910826,3.3988197114269845,Grills/BBQ,21.4,2.4,1.119
R0093,Victoria Island,6.42423599017715,3.4193198068098796,Continental,9.8,2.5,0.858
R0094,Victoria Island,6.455811247256269,3.424236151566527,Grills/BBQ,12.1,3.2,4.9
R0095,Ikeja,6.596528736682252,3.376612152484403,Continental,12.7,1.7,0.607
R0096,Ajah,6.4580678621538254,3.5876101971633014,Nigerian,19.0,4.4,0.795
R0097,Ajah,6.465178397328038,3.584091505535746,Chinese,8.5,4.2,1.472
R0098,Ojota,6.58699539449421,3.382601346468317,Grills/BBQ,10.9,2.5,0.589
R0099,Lekki,6.44839889211187,3.4783086039596407,Pastries,14.9,2.8,1.427
R0100,Ojota,6.569362140598396,3.372983065828519,Pastries,11.6,1.8,1.781
R0101,Lekki,6.447440042522242,3.4692611300821627,Pastries,17.6,1.8,0.555
R0102,Ikeja,6.588790881001021,3.3390629241042733,Fast Food,12.6,1.7,0.752
R0103,Ikoyi,6.468263843889458,3.4183405203791177,Continental,10.4,2.7,0.603
R0104,Yaba,6.518972459249209,3.3570357744137524,Nigerian,13.3,3.0,0.661
R0105,Victoria Island,6.423362142840057,3.4080119035561642,Continental,13.0,2.2,2.689
R0106,Gbagada,6.567725914700724,3.3873399736844787,Grills/BBQ,16.7,2.9,0.913
R0107,Yaba,6.516907974054666,3.3685500019693118,Nigerian,14.5,2.1,0.557
R0108,Yaba,6.479161874502899,3.3847113140268785,Nigerian,18.9,4.0,0.505
R0109,Surulere,6.525267526052864,3.3662151253227184,Pastries,12.0,2.3,2.215
R0110,Ajah,6.497458201286655,3.609454239319141,Continental,18.6,2.5,2.96
R0111,Yaba,6.526370481105091,3.3797331678382316,Chinese,16.5,1.6,0.668
R0112,Lekki,6.435691408555537,3.455212319371195,Nigerian,21.8,2.5,3.945
R0113,Yaba,6.509662717938125,3.373855527927678,Chinese,9.9,3.0,1.545
R0114,Surulere,6.499923650887934,3.38362412581554,Nigerian,17.3,4.2,1.657
R0115,Victoria Island,6.413487232835258,3.4198478983583183,Chinese,10.8,2.4,0.608
R0116,Ojota,6.574743757393815,3.392431002384931,Pastries,18.2,2.3,2.716
R0117,Yaba,6.51415216621413,3.376253504736805,Chinese,19.5,3.8,1.544
R0118,Yaba,6.512432621129943,3.3683541740456064,Continental,11.3,2.7,0.565
R0119,Apapa,6.449573100168256,3.3632164339206145,Pastries,14.4,2.0,0.556
R0120,Ojota,6.580695558083606,3.3631080156953117,Pastries,7.8,4.1,0.537
R0121,Victoria Island,6.444491562690534,3.385588449193677,Chinese,15.0,1.8,2.451
R0122,Ikoyi,6.4420263283779535,3.4271673699184433,Pastries,20.3,1.6,2.21
R0123,Ojota,6.600074828860464,3.3776321256464543,Continental,13.8,3.3,0.594
R0124,Lekki,6.456281471248724,3.467684210613533,Continental,11.6,2.6,0.761
R0125,Apapa,6.459543872209173,3.3656736418556843,Nigerian,10.2,3.8,1.831
R0126,Lekki,6.454418930078518,3.454365458433364,Fast Food,11.9,2.3,0.503
R0127,Ikeja,6.611577816145659,3.352356209364743,Continental,8.2,2.3,0.868
R0128,Lekki,6.442822236836842,3.475664413924773,Grills/BBQ,17.6,4.4,0.557
R0129,Victoria Island,6.444906789611727,3.41604007701621,Nigerian,7.3,3.4,1.424
R0130,Ajah,6.470320845160242,3.580964449950013,Nigerian,18.1,3.7,0.808
R0131,Gbagada,6.55326083802182,3.384893558622907,Continental,12.8,4.3,0.724
R0132,Surulere,6.483760277992903,3.3601500231062373,Pastries,9.9,2.7,0.544
R0133,Yaba,6.522829969458127,3.3868277504043545,Fast Food,20.3,2.2,1.386
R0134,Surulere,6.489295429039634,3.3608199656994575,Nigerian,11.4,3.0,0.678
R0135,Lekki,6.440064364046023,3.4736286266137144,Chinese,13.4,2.9,2.177
R0136,Yaba,6.51745888296148,3.3554625153919964,Nigerian,13.0,1.9,3.0
R0137,Ikeja,6.608425350571417,3.3678122988237784,Fast Food,14.5,2.1,1.688
R0138,Lekki,6.449298876112703,3.479087624542498,Continental,9.7,2.5,4.81
R0139,Ikoyi,6.45407408198212,3.4371436226228043,Chinese,21.4,2.8,1.524
R0140,Apapa,6.436575987695279,3.3564242322642097,Nigerian,10.8,1.9,0.614
R0141,Apapa,6.458012147248484,3.3682801177976742,Chinese,10.1,2.9,0.783
R0142,Ikoyi,6.460091471576672,3.4378953911564434,Chinese,8.9,3.5,2.648
R0143,Ajah,6.450842367175775,3.58969768611981,Nigerian,12.2,2.4,0.803
R0144,Apapa,6.47274990626533,3.3584091371616367,Continental,14.8,3.0,2.919
R0145,Lekki,6.44239968427865,3.462692043655325,Continental,11.9,1.9,0.99
R0146,Lekki,6.438139640250882,3.4828742465513542,Grills/BBQ,14.9,2.1,1.361
R0147,Ojota,6.562291909920584,3.3650245904646656,Pastries,13.5,1.9,1.124
R0148,Surulere,6.505266646253698,3.364768490235728,Grills/BBQ,16.0,4.4,1.139
R0149,Apapa,6.454937454874972,3.374104737226242,Fast Food,18.9,3.6,0.541
